Player|Team|Affiliation|Year|RoundNumber|RoundPick|OverallPick
Barry Smith|Detroit Pistons|High Point|1965|6|3|47
Lavonne LeFlore|Baltimore Bullets|Jackson State|1965|6|4|48
Mitch Edwards|Philadelphia 76ers|Texas-Pan American|1965|6|5|49
John Rambo|St. Louis Hawks|Long Beach State|1965|6|6|50
Leon Clements|Cincinnati Royals|Ouachita Baptist|1965|6|7|51
Theo Cruz|Los Angeles Lakers|Seattle|1965|6|8|52
Haskell Tison|Boston Celtics|Duke|1965|6|9|53
Dan Wolters|San Francisco Warriors|California|1965|7|1|54
Dale Neel|New York Knicks|High Point|1965|7|2|55
Willie Somerset|Baltimore Bullets|Duquesne|1965|7|3|56
John Young|Philadelphia 76ers|Midwestern State|1965|7|4|57
Terry Kunze|St. Louis Hawks|Minnesota|1965|7|5|58
Jeff Gehring|Cincinnati Royals|Miami (FL)|1965|7|6|59
Dwayne Cruze|Los Angeles Lakers|Idaho State|1965|7|7|60
George Deehan|Boston Celtics|Lenoir-Rhyne|1965|7|8|61
Willie Cotton|San Francisco Warriors|Central State (OH)|1965|8|1|62
Frank Granat|New York Knicks|Alliance|1965|8|2|63
Jim Murphy|Baltimore Bullets|DePaul|1965|8|3|64
Bob Barnek|Philadelphia 76ers|St. Bonaventure|1965|8|4|65
Cincinnatus Powell|St. Louis Hawks|Portland|1965|8|5|66
Jim Fox|Cincinnati Royals|South Carolina|1965|8|6|67
George Unseld|Los Angeles Lakers|Kansas|1965|8|7|68
Jay Neary|New York Knicks|North Carolina-Wilmington|1965|9|1|69
John Wendelkin|Baltimore Bullets|Holy Cross|1965|9|2|70
Gene West|Philadelphia 76ers|Drake|1965|9|3|71
Leroy Walker|St. Louis Hawks|Utah State|1965|9|4|72
Ron Krick|Cincinnati Royals|Cincinnati|1965|9|5|73
Marlbert Pradd|Los Angeles Lakers|Dillard|1965|9|6|74
Wayne Molis|New York Knicks|Lewis|1965|10|1|75
Bogie Redmon|Baltimore Bullets|Illinois|1965|10|2|76
Dean Church|Philadelphia 76ers|Louisiana-Lafayette|1965|10|3|77
Spencer Carlson|St. Louis Hawks|Baylor|1965|10|4|78
Richie Dec|Cincinnati Royals|Seton Hall|1965|10|5|79
Don Rae|Los Angeles Lakers|Montana State|1965|10|6|80
Bill Meyer|New York Knicks|Hiram|1965|11|1|81
Thales McReynolds|Baltimore Bullets|Miles|1965|11|2|82
Curt Fromal|Philadelphia 76ers|La Salle|1965|11|3|83
Weldon Kytle|St. Louis Hawks|Cleveland State|1965|11|4|84
Dick Maile|Cincinnati Royals|Louisiana State|1965|11|5|85
Bob Andrews|Los Angeles Lakers|Alabama|1965|11|6|86
Bob Trupin|New York Knicks|Yale|1965|12|1|87
Walt Sahm|Baltimore Bullets|Notre Dame|1965|12|2|88
Dan Anderson|Philadelphia 76ers|Augsburg|1965|12|3|89
Elton McGriff|St. Louis Hawks|Creighton|1965|12|4|90
Robert McCollough|Cincinnati Royals|Benedict|1965|12|5|91
Dennis McGovern|New York Knicks|Rhode Island|1965|13|1|92
Joe Ramsey|Baltimore Bullets|Southern Illinois|1965|13|2|93
Rich Parks|Philadelphia 76ers|Tulsa|1965|13|3|94
Mel Northway|St. Louis Hawks|Minnesota|1965|13|4|95
Oliver Jones|Cincinnati Royals|Albany State (GA)|1965|13|5|96
